"         B40K","  20.0","    14","  45.65","   60743","    121486","         8948","        435"
"         B40K","  30.0","    14","  47.52","   90325","    180650","         9087","        247"
"         B40K","  40.0","    14","  83.78","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 101.74","  150902","    301804","         1544","         25"
"         B40K","  10.0","    14","  41.47","   29985","     59970","         8523","        937"
"         B40K","  20.0","    14","  44.11","   60743","    121486","         8948","        435"
"         B40K","  30.0","    14","  47.18","   90325","    180650","         9087","        247"
"         B40K","  40.0","    14","  82.07","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14","  99.37","  150902","    301804","         1544","         25"
"         B40K","  10.0","    14","  41.90","   29985","     59970","         8523","        937"
"         B40K","  20.0","    14","  46.26","   60743","    121486","         8948","        435"
"         B40K","  30.0","    14","  46.42","   90325","    180650","         9087","        247"
"         B40K","  40.0","    14","  87.69","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 103.83","  150902","    301804","         1544","         25"
"         B60K","  10.0","    21","  41.14","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  44.69","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  45.30","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  82.68","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21","  99.80","  213650","    427300","         1544","         25"
"         B60K","  10.0","    21","  41.49","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  45.67","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  48.15","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  82.50","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 109.20","  213650","    427300","         1544","         25"
"         B60K","  10.0","    21","  40.67","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  45.17","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  46.48","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  83.52","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 101.03","  213650","    427300","         1544","         25"
"         B60K","  10.0","    21","  40.04","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  44.07","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  48.31","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  92.30","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 106.72","  213650","    427300","         1544","         25"
"         B60K","  10.0","    21","  41.48","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  44.15","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  48.67","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  80.94","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21","  98.92","  213650","    427300","         1544","         25"
"         B80K","  10.0","    28","  45.70","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  49.24","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  53.04","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28","  93.23","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28","  93.25","  282215","    564430","         2886","         67"
"         B80K","  10.0","    28","  55.42","   53959","    107918","        14349","       1482"
