"PBFE-RDD" 200 "10K" 258756 8.33
"PBFE-DF" 110 "20K" 403832 10.44
"PBFE-RDD" 110 "20K" 403832 8.983
"PBFE-DF" 120 "20K" 450790 12.525
"PBFE-RDD" 120 "20K" 450790 9.206
"PBFE-DF" 130 "20K" 500526 11.248
"PBFE-RDD" 130 "20K" 500526 10.24
"PBFE-DF" 140 "20K" 552160 10.367
"PBFE-RDD" 140 "20K" 552160 9.284
"PBFE-DF" 150 "20K" 604996 10.904
"PBFE-RDD" 150 "20K" 604996 9.111
"PBFE-DF" 160 "20K" 661268 10.052
"PBFE-RDD" 160 "20K" 661268 12.077
"PBFE-DF" 170 "20K" 718862 11.974
"PBFE-RDD" 170 "20K" 718862 9.406
"PBFE-DF" 180 "20K" 777042 11.892
"PBFE-RDD" 180 "20K" 777042 9.253
"PBFE-DF" 190 "20K" 837202 10.301
"PBFE-RDD" 190 "20K" 837202 9.499
"PBFE-DF" 200 "20K" 898572 11.254
"PBFE-RDD" 200 "20K" 898572 8.981
"PBFE-DF" 110 "30K" 944102 10.986
"PBFE-RDD" 110 "30K" 944102 9.659
"PBFE-DF" 120 "30K" 1054678 11.119
"PBFE-RDD" 120 "30K" 1054678 9.544
"PBFE-DF" 130 "30K" 1169874 11.703
"PBFE-RDD" 130 "30K" 1169874 11.357
"PBFE-DF" 140 "30K" 1290148 10.988
"PBFE-RDD" 140 "30K" 1290148 9.423
"PBFE-DF" 150 "30K" 1414444 11.447
"PBFE-RDD" 150 "30K" 1414444 10.324
"PBFE-DF" 160 "30K" 1544914 10.627
"PBFE-RDD" 160 "30K" 1544914 11.568
"PBFE-DF" 170 "30K" 1678360 11.863
"PBFE-RDD" 170 "30K" 1678360 10.991
"PBFE-DF" 180 "30K" 1814508 11.093
"PBFE-RDD" 180 "30K" 1814508 10.104
"PBFE-DF" 190 "30K" 1954524 11.704
"PBFE-RDD" 190 "30K" 1954524 10.633
"PBFE-DF" 200 "30K" 2098182 11.463
"PBFE-RDD" 200 "30K" 2098182 10.392
"PBFE-DF" 110 "40K" 1669788 10.626
"PBFE-RDD" 110 "40K" 1669788 9.113
"PBFE-DF" 120 "40K" 1864230 11.59
"PBFE-RDD" 120 "40K" 1864230 9.895
"PBFE-DF" 130 "40K" 2066934 11.752
"PBFE-RDD" 130 "40K" 2066934 11.254
"PBFE-DF" 140 "40K" 2278258 11.678
"PBFE-RDD" 140 "40K" 2278258 10.981
"PBFE-DF" 150 "40K" 2498138 11.099
"PBFE-RDD" 150 "40K" 2498138 9.822
"PBFE-DF" 160 "40K" 2727688 10.801
"PBFE-RDD" 160 "40K" 2727688 10.814
"PBFE-DF" 170 "40K" 2962432 10.269
"PBFE-RDD" 170 "40K" 2962432 11.716
"PBFE-DF" 180 "40K" 3203072 11.944
