"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"avg_dispatch_power_cc2",0.1081,0.1136,0.1167,0.118," average power of dispatch unit per cycle_cc2",0.1081,0.118,0.00989999999999999,0.00440529983845216,0.444979781661835
"fetch_stage_power_cc3",302546720.4306,297055076.2237,294203100.2386,292973659.057," total power usage of fetch stage_cc3",292973659.057,302546720.4306,9573061.37360001,4259508.15620649,0.444947336068804
"avg_bpred_access",0.1429,0.1502,0.1542,0.1559," avg number accesses of bpred unit",0.1429,0.1559,0.013,0.00578330931791364,0.444869947531818
"avg_icache_power_cc3",1.1437,1.1889,1.2137,1.2244," avg power usage of icache_cc3",1.1437,1.2244,0.0807,0.0358763036929206,0.444563862365806
"avg_fetch_power_cc2",1.3188,1.3854,1.422,1.4378," average power of fetch unit per cycle_cc2",1.3188,1.4378,0.119,0.0529006616215714,0.444543374971188
"avg_icache_power_cc1",0.9956,1.0458,1.0733,1.0852," avg power usage of icache_cc1",0.9956,1.0852,0.0895999999999999,0.0398284969169898,0.444514474519975
"avg_icache_power_cc2",0.9956,1.0458,1.0733,1.0852," avg power usage of icache_cc2",0.9956,1.0852,0.0895999999999999,0.0398284969169898,0.444514474519975
"avg_fetch_power_cc1",1.5601,1.6388,1.682,1.7007," average power of fetch unit per cycle_cc1",1.5601,1.7007,0.1406,0.062496133213717,0.444495968803108
"avg_fetch_power_cc3",1.863,1.9217,1.954,1.968," average power of fetch unit per cycle_cc3",1.863,1.968,0.105,0.0466678601037873,0.44445581051226
"avg_dcache_power_cc1",1.4329,1.5054,1.5451,1.5625," avg power usage of dcache_cc1",1.4329,1.5625,0.1296,0.0575764057579144,0.444262390107364
"LSQ_fcount",12873175,12999311,13265656,13540352," cumulative LSQ full count",12873175,13540352,667177,296394.963169642,0.44425236956556
"avg_resultbus_access",1.0357,1.0883,1.1173,1.13," avg number accesses of resultbus",1.0357,1.13,0.0942999999999998,0.0418917155692307,0.444238765315279
"avg_regfile_access",1.3207,1.3872,1.4239,1.44," avg number accesses of arch. regfile",1.3207,1.44,0.1193,0.052992861154436,0.444198333230813
"sim_exec_BW",1.0347,1.0874,1.1166,1.1294," total instructions (mis-spec + committed) per cycle",1.0347,1.1294,0.0947,0.0420649002534576,0.44419113256027
"ifq_rate",1.0347,1.0874,1.1166,1.1294," avg IFQ dispatch rate (insn/cycle)",1.0347,1.1294,0.0947,0.0420649002534576,0.44419113256027
"ruu_rate",1.0347,1.0874,1.1166,1.1294," avg RUU dispatch rate (insn/cycle)",1.0347,1.1294,0.0947,0.0420649002534576,0.44419113256027
"lsq_rate",1.0347,1.0874,1.1166,1.1294," avg LSQ dispatch rate (insn/cycle)",1.0347,1.1294,0.0947,0.0420649002534576,0.44419113256027
"avg_rename_access",1.0347,1.0874,1.1166,1.1294," avg number accesses of rename unit",1.0347,1.1294,0.0947,0.0420649002534576,0.44419113256027
"avg_window_access",3.6944,3.8818,3.9852,4.0306," avg number accesses of instruction window",3.6944,4.0306,0.3362,0.149334077379099,0.44418226466121
"avg_alu_access",0.9668,1.0159,1.043,1.0549," avg number accesses of alu",0.9668,1.0549,0.0881,0.0391321266139898,0.444178508671848
"sim_elapsed_time",145,147,152,146," total simulation time in seconds",145,152,7,3.1091263510296,0.444160907289944
"sim_IPC",0.8931,0.9383,0.9633,0.9743," instructions per cycle",0.8931,0.9743,0.0812,0.0360630466451926,0.444126190211731
"avg_alu_power_cc2",1.1278,1.1851,1.2166,1.2305," avg power usage of alu_cc2",1.1278,1.2305,0.1027,0.0456094288497455,0.444103494155263
"avg_bpred_power_cc3",0.7193,0.7328,0.7403,0.7436," avg power usage of bpred unit_cc3",0.7193,0.7436,0.0243,0.0107916634491629,0.444101376508764
"avg_alu_power_cc3",2.8323,2.8801,2.9067,2.9184," avg power usage of alu_cc3",2.8323,2.9184,0.0861000000000001,0.0382369258701585,0.444099022882213
"icache_power_cc3",185736870.3073,183781169.2681,182741072.2144,182277044.426," total power usage of icache_cc3",182277044.426,185736870.3073,3459825.8813,1536486.33542058,0.4440935434714
"avg_bpred_power_cc1",0.5645,0.593,0.6086,0.6155," avg power usage of bpred unit_cc1",0.5645,0.6155,0.051,0.0226481787347239,0.444081935974978
"avg_dcache_power_cc2",1.0062,1.0571,1.0852,1.0976," avg power usage of dcache_cc2",1.0062,1.0976,0.0913999999999999,0.0405887812907294,0.444078569920453
"avg_icache_access",1.1174,1.1742,1.2057,1.2196," avg number accesses of icache",1.1174,1.2196,0.1022,0.0453822560773114,0.444053386275063
