"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"fetch_stage_power",181642835.8716,99161656.1241,82473997.7116,83652130.1778," total power usage of fetch stage",82473997.7116,181642835.8716,99168838.16,47223046.2904429,0.476188358829542
"lsq_power",24993291.6491,13644227.5862,11348075.8463,11510181.9277," total power usage of load/store queue",11348075.8463,24993291.6491,13645215.8028,6497692.91899657,0.476188358828538
"resultbus_power",59618306.2406,32546562.907,27069386.0835,27456069.4443," total power usage of resultbus",27069386.0835,59618306.2406,32548920.1571,15499416.8705526,0.476188358807095
"bpred_bimod.retstack_pops",323782,324552,325229,325229," total number of address popped off of ret-addr stack",323782,325229,1447,689.031687708676,0.476179466281048
"sim_CPI",1.0085,0.5506,0.4579,0.4645," cycles per instruction",0.4579,1.0085,0.5506,0.262173420658922,0.476159499925394
"avg_total_power_insn_nofp_nod2",53.3306,28.4475,23.1281,23.458," average total power per insn",23.1281,53.3306,30.2025,14.3673004401198,0.475699046109421
"avg_total_power_insn",71.832,38.3166,31.1517,31.5961," average total power per insn",31.1517,71.832,40.6803,19.3515608708962,0.475698578203607
"ul2.hits",66372,66422,66435,66435," total number of hits",66372,66435,63,29.9666481275434,0.475661081389578
"IFQ_count",100712336,52077241,41933873,42735284," cumulative IFQ occupancy",41933873,100712336,58778463,27947005.0146646,0.475463351511329
"RUU_count",397950483,206318273,160939115,159824970," cumulative RUU occupancy",159824970,397950483,238125513,113219252.240932,0.475460402434626
"fetch_stage_power_cc3",75213428.5778,44557500.7119,37708124.4408,38080371.9572," total power usage of fetch stage_cc3",37708124.4408,75213428.5778,37505304.137,17828589.7884511,0.475361824112305
"ruu_latency",15.3454,7.7737,5.9276,5.8864," avg RUU occupant latency (cycle's)",5.8864,15.3454,9.459,4.49508956779506,0.475218264911202
"ifq_latency",3.8836,1.9622,1.5445,1.574," avg IFQ occupant latency (cycle's)",1.5445,3.8836,2.3391,1.11143532237973,0.475155111957475
"sim_slip",572370968,311780226,245835697,244831436," total number of slip cycles",244831436,572370968,327539532,155629579.711352,0.475147469256786
"avg_sim_slip",22.246,12.1178,9.5548,9.5157," the average slip between issue and retirement",9.5157,22.246,12.7303,6.0487529912509,0.475146146693393
"total_window_access",106339570,101024724,99530743,99525401," total number accesses of instruction window",99525401,106339570,6814169,3234199.92043189,0.474628662780728
"LSQ_count",139979840,73101096,54618725,54827987," cumulative LSQ occupancy",54618725,139979840,85361115,40502749.6631263,0.474487120548113
"alu_power_cc1",115711928.7071,76465552.4568,67957703.8125,68730185.8278," total power usage of alu_cc1",67957703.8125,115711928.7071,47754224.8946,22658413.3048928,0.474479762888058
"lsq_latency",5.3978,2.7543,2.0117,2.0193," avg LSQ occupant latency (cycle's)",2.0117,5.3978,3.3861,1.60623175035028,0.474360399973504
"lsq_power_cc3",4327054.9819,3300431.4916,3059552.3077,3075519.6794," total power usage of lsq_cc3",3059552.3077,4327054.9819,1267502.6742,601090.848292093,0.474232410335133
"dtlb.accesses",9062910,9116518,9130335,9130783," total number of accesses",9062910,9130783,67873,32173.0902515337,0.474018980324042
"dtlb.hits",9062827,9116435,9130252,9130700," total number of hits",9062827,9130700,67873,32173.0902515337,0.474018980324042
"ifq_full",0.9584,0.8322,0.8035,0.8062," fraction of time (cycle's) IFQ was full",0.8035,0.9584,0.1549,0.0733668124335974,0.473639847860539
"clock_power_cc1",256668998.2879,170726992.3432,146979492.5065,147693973.5703," total power usage of clock_cc1",146979492.5065,256668998.2879,109689505.7814,51952178.5411397,0.473629434019651
"dcache2_power_cc2",159436.3263,159541.5537,159577.331,159577.331," total power usage of dcache2_cc2",159436.3263,159577.331,141.00470000002,66.7067506238649,0.473081752763246
"ul2.accesses",75758,75808,75825,75825," total number of accesses",75758,75825,67,31.6964771964751,0.473081749201121
"total_dcache2_access",75758,75808,75825,75825," total number accesses of dcache2",75758,75825,67,31.6964771964751,0.473081749201121
"total_power_cycle_cc1",667824822.4294,437752517.902,372919254.8119,376366283.7743," total power per cycle_cc1",372919254.8119,667824822.4294,294905567.6175,139294096.138731,0.472334575654398
"total_regfile_access",43080349,36333917,33827079,33821849," total number accesses of arch. regfile",33821849,43080349,9258500,4372755.82843447,0.472296357772261
"window_power_cc1",47370707.9952,26694681.8867,22871153.4165,23815786.8777," total power usage of instruction window_cc1",22871153.4165,47370707.9952,24499554.5787,11569933.2966135,0.472250761108628
"regfile_power_cc1",73198459.5158,41939937.6619,30555216.861,30662768.1288," total power usage of arch. regfile_cc1",30555216.861,73198459.5158,42643242.6548,20127974.6498187,0.472008538674135
"avg_total_power_insn_cc1",25.752,16.4938,13.735,13.8617," average total power per insn_cc1",13.735,25.752,12.017,5.67198356742742,0.471996635385489
