"metric","C1","C2","C4","desc","min","max","range","sd","index"
"avg_bpred_power_cc2",0.7052,0.704,0.7036," avg power usage of bpred unit_cc2",0.7036,0.7052,0.00160000000000005,0.000832666399786486,0.520416499866539
"avg_lsq_power_cc2",0.1869,0.1866,0.1865," avg power usage of instruction lsq_cc2",0.1865,0.1869,0.000400000000000011,0.000208166599946621,0.520416499866539
"avg_alu_power_cc2",2.7918,2.787,2.7854," avg power usage of alu_cc2",2.7854,2.7918,0.00639999999999974,0.00333066559914569,0.520416499866536
"avg_dcache_power_cc2",2.2653,2.2614,2.2601," avg power usage of dcache_cc2",2.2601,2.2653,0.00519999999999987,0.00270616579930589,0.52041649986653
"avg_rename_power_cc1",0.3356,0.335,0.3348," avg power usage of rename unit_cc1",0.3348,0.3356,0.000800000000000023,0.000416333199893234,0.520416499866528
"avg_dispatch_power_cc1",0.3356,0.335,0.3348," average power of dispatch unit per cycle_cc1",0.3348,0.3356,0.000800000000000023,0.000416333199893234,0.520416499866528
"avg_regfile_access",2.7694,2.7647,2.7631," avg number accesses of arch. regfile",2.7631,2.7694,0.00629999999999997,0.00327465010853578,0.519785731513619
"avg_resultbus_access",2.3768,2.3727,2.3713," avg number accesses of resultbus",2.3713,2.3768,0.00549999999999962,0.0028583211855911,0.5196947610166
"avg_fetch_power_cc3",3.1115,3.1074,3.106," average power of fetch unit per cycle_cc3",3.106,3.1115,0.00550000000000006,0.00285832118559128,0.51969476101659
"ul2.wb_rate",0.1308,0.1273,0.1299," writeback rate (i.e., wrbks/ref)",0.1273,0.1308,0.0035,0.00181750745069541,0.519287843055831
"avg_icache_power_cc3",2.0829,2.0798,2.0787," avg power usage of icache_cc3",2.0787,2.0829,0.00419999999999998,0.00217791949652259,0.51855226107681
"sim_slip",254516386,254978113,255143066," total number of slip cycles",254516386,255143066,626680,324840.765385648,0.518351894724018
"avg_sim_slip",9.8922,9.9101,9.9165," the average slip between issue and retirement",9.8922,9.9165,0.0242999999999984,0.0125953695195224,0.518327963766387
"sim_CPI",0.4748,0.4756,0.4759," cycles per instruction",0.4748,0.4759,0.00109999999999999,0.000568624070307732,0.516930973007034
"ul2.writebacks",9923,9652,9848," total number of writebacks",9652,9923,271,139.929744276667,0.516345919840098
"avg_dcache_access",0.7446,0.7433,0.7428," avg number accesses of dcache",0.7428,0.7446,0.00180000000000002,0.000929157324317778,0.51619851350987
"lsq_occupancy",4.6305,4.632,4.6358," avg LSQ occupancy (insn's)",4.6305,4.6358,0.00530000000000008,0.00273191019862175,0.515454754456926
"avg_bpred_access",0.3118,0.3113,0.3111," avg number accesses of bpred unit",0.3111,0.3118,0.000700000000000034,0.000360555127546413,0.515078753637708
"alu_power_cc1",67991753.4315,67992359.5491,67991930.2158," total power usage of alu_cc1",67991753.4315,67992359.5491,606.117599993944,311.70453858124,0.514264127265657
