"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"dcache_power_cc3",17172.214,15058.926,14375.5911,14375.5911," total power usage of dcache_cc3",14375.5911,17172.214,2796.6229,1324.20034460012,0.473499785974047
"alu_power_cc3",43246.5142,38222.871,36561.3541,36561.3541," total power usage of alu_cc3",36561.3541,43246.5142,6685.1601,3164.13493897017,0.473307279352992
"il1.replacements",80,83,84,84," total number of replacements",80,84,4,1.89296944860009,0.473242362150023
"lsq_power_cc3",2268.1672,1920.7755,1805.0316,1805.0466," total power usage of lsq_cc3",1805.0316,2268.1672,463.1356,219.173845814236,0.47323903801443
"dcache_power_cc1",12887.8315,11798.6333,11415.2842,11415.2842," total power usage of dcache_cc1",11415.2842,12887.8315,1472.5473,696.243305491421,0.472815579840064
"avg_window_access",1.9308,2.3354,2.6091,2.6091," avg number accesses of instruction window",1.9308,2.6091,0.6783,0.320638207330318,0.472708546852894
"ruu_latency",6.1707,6.8273,7.2657,7.2657," avg RUU occupant latency (cycle's)",6.1707,7.2657,1.095,0.517490956442719,0.472594480769606
"ul2.hits",444,450,454,454," total number of hits",444,454,10,4.72581562625261,0.472581562625261
"avg_alu_power_cc1",2.2291,1.6682,1.4617,1.4617," avg power usage of alu_cc1",1.4617,2.2291,0.7674,0.3625946807387,0.472497629318087
"dcache2_power_cc3",9758.7878,8187.5325,7606.2564,7606.2564," total power usage of dcache2_cc3",7606.2564,9758.7878,2152.5314,1016.99679951203,0.472465488546195
"bpred_power_cc3",12169.9239,10534.3614,9929.1671,9929.1671," total power usage of bpred unit_cc3",9929.1671,12169.9239,2240.7568,1058.67712446571,0.472464090911475
"lsq_power",18520.988,14884.9835,13535.5684,13535.5684," total power usage of load/store queue",13535.5684,18520.988,4985.4196,2355.33416108282,0.472444518227276
"fetch_stage_power",134604.3101,108179.0529,98371.9575,98371.9575," total power usage of fetch stage",98371.9575,134604.3101,36232.3526,17117.7763555828,0.472444517874968
"regfile_power",68695.0661,55208.9839,50203.9505,50203.9505," total power usage of arch. regfile",50203.9505,68695.0661,18491.1156,8736.02619444578,0.472444517865963
"dcache2_power",80936.6963,65047.361,59150.4183,59150.4183," total power usage of dcache2",59150.4183,80936.6963,21786.278,10292.8076056235,0.472444517857683
"window_power",42386.8581,34065.5523,30977.3008,30977.3008," total power usage of instruction window",30977.3008,42386.8581,11409.5573,5390.38279744262,0.472444517846685
"bpred_power",86975.1975,69900.3953,63563.4952,63563.4952," total power usage of bpred unit",63563.4952,86975.1975,23411.7023,11060.7304049489,0.472444517840504
"issue_stage_power",667250.5191,536257.1908,487642.1834,487642.1834," total power usage of issue stage",487642.1834,667250.5191,179608.3357,84854.9735597761,0.472444517839692
"sim_cycle",19229,15454,14053,14053," total simulation time in cycles",14053,19229,5176,2445.37282433579,0.472444517839218
"dcache_power",117006.6627,94036.1415,85511.1878,85511.1878," total power usage of dcache",85511.1878,117006.6627,31495.4749,14879.8644531433,0.472444517835902
"falu_power",274610.2133,220699.2686,200691.5246,200691.5246," total power usage of falu",200691.5246,274610.2133,73918.6887,34922.4792416963,0.472444517832692
