oid;time;lat;lon;grid_id
898;1;13116;19535;5876
899;1;8205;18355;3370
900;1;7336;17365;2965
901;1;10361;25448;4505
902;1;10176;8439;4320
903;1;12389;18091;5468
904;1;12038;15208;5254
905;1;13256;29904;6028
906;1;9716;23586;4196
907;1;3535;19414;1075
908;1;12442;22166;5489
909;1;9481;7921;4018
910;1;12525;18867;5572
911;1;8691;20638;3681
912;1;11791;21416;5185
913;1;13183;14204;5849
914;1;9841;14621;4151
915;1;12929;20567;5781
916;1;8550;8025;3518
917;1;8094;8621;3321
918;1;16631;20002;7578
919;1;19742;20623;9181
920;1;17715;11487;8135
921;1;19100;10436;8830
922;1;15052;23431;6895
923;1;11011;15482;4755
924;1;12165;13411;5345
925;1;10394;8637;4421
926;1;13811;21424;6185
927;1;8537;15974;3558
928;1;21382;10562;9931
929;1;2836;19100;674
930;1;10118;22367;4390
931;1;13184;11622;5836
932;1;11057;12404;4840
933;1;13092;27093;5913
934;1;8535;8262;3519
935;1;14417;15953;6458
936;1;8147;8284;3319
937;1;6791;20509;2681
938;1;16420;11403;7435
939;1;10375;21345;4485
940;1;7519;20580;3081
941;1;13025;19364;5775
942;1;11646;16903;5163
943;1;18716;23628;8696
944;1;8737;17640;3666
945;1;6040;21363;2285
946;1;6777;20316;2680
947;1;17516;10286;8029
948;1;5418;14804;1952
949;1;4605;10435;1530
950;1;8493;21488;3585
951;1;8759;19116;3674
952;1;3010;17189;764
953;1;4720;22982;1693
954;1;11488;10913;5033
955;1;10974;17897;4768
956;1;15559;15257;7054
957;1;14118;10690;6331
958;1;8339;8301;3420
959;1;18276;25383;8505
960;1;15771;28270;7219
961;1;14824;9128;6624
962;1;7624;18719;3072
963;1;9881;10776;4232
964;1;11881;27016;5313
965;1;15004;21784;6787
966;1;4469;22228;1589
967;1;17645;13442;8145
968;1;9679;13063;4143
969;1;20202;9339;9325
970;1;13779;8508;6121
971;1;8369;7600;3416
972;1;14854;14865;6752
973;1;6947;19551;2776
974;1;12537;17802;5567
975;1;13932;9948;6228
976;1;5041;18619;1771
977;1;9706;9398;4125
978;1;2841;20023;678
979;1;11052;10854;4832
980;1;8339;8301;3420
981;1;7289;11865;2937
982;1;14715;15764;6657
983;1;8212;18095;3368
984;1;13996;21715;6287
985;1;9453;17907;4068
986;1;8872;12166;3739
987;1;16262;23042;7493
988;1;13680;25177;6204
989;1;10589;4297;4500
990;1;19883;15692;9256
991;1;13092;27093;5913
992;1;19785;22923;9193
993;1;10504;17322;4565
994;1;12680;21923;5688
995;1;4828;19655;1676
996;1;12105;24912;5403
997;1;9176;11647;3836
998;1;11812;18423;5170
999;1;15303;23276;6994
