"did","pid"
167,19
167,21
168,10
168,12
169,29
169,35
170,12
170,14
170,15
170,16
170,17
170,19
170,21
171,17
171,19
171,21
172,19
172,21
173,17
173,19
173,21
174,10
174,12
174,13
175,12
175,13
175,14
175,15
175,16
175,17
175,19
175,21
176,15
176,17
176,19
176,21
177,14
177,15
177,16
177,17
177,19
177,21
178,35
178,42
179,15
179,16
179,17
179,19
179,21
180,14
180,15
180,16
180,17
180,19
180,21
181,10
181,12
181,13
181,14
182,10
182,12
182,13
182,14
182,15
183,12
183,13
183,14
183,15
183,16
183,17
183,19
183,21
184,12
184,14
184,15
184,16
184,17
184,19
184,21
185,12
185,13
185,14
185,15
186,10
186,12
186,13
186,14
186,15
186,17
187,10
187,12
187,13
187,14
187,15
187,16
187,17
188,12
188,13
189,12
189,13
189,14
189,15
189,16
189,17
190,15
190,16
190,17
190,21
191,12
191,13
191,14
191,15
191,16
192,12
192,13
192,15
192,16
193,12
193,14
193,15
193,16
193,17
193,21
194,12
194,13
194,14
194,15
194,16
194,17
194,21
195,12
195,13
195,14
195,15
195,16
195,17
196,12
196,13
196,15
196,16
196,17
196,21
197,16
197,17
197,21
198,12
198,13
198,15
198,16
198,17
199,13
199,15
199,16
199,17
199,21
200,12
200,13
200,14
200,15
200,16
200,17
200,21
201,12
201,13
201,15
201,16
201,17
201,21
202,12
202,13
202,15
202,16
202,17
202,21
203,12
203,13
203,16
203,17
203,21
204,13
204,16
204,17
204,21
205,12
205,13
205,16
205,17
205,21
206,12
206,13
206,16
207,12
207,13
207,16
207,21
208,13
208,16
209,13
209,16
209,21
210,16
210,21
211,56
211,60
212,4
212,6
213,56
213,60
214,4
214,6
215,74
215,76
216,74
216,76
217,53
217,54
218,53
218,54
